,顧客ID,商品コード,売上単価,数量,売上,明細ID
435,2252292,1A1601,82080,1,82080,160000635981
438,2252456,200071,16200,1,16200,20001629211
441,2252531,200006,8640,1,8640,1430000221971
464,2252708,200071,16200,1,16200,20001636161
471,2311149,200071,16200,1,16200,290000367201
477,2312708,1B2201,28080,1,28080,20001628351
484,2312793,1B2201,28080,1,28080,20001631043
494,2312794,200006,8640,1,8640,160000637971
500,2312875,200006,8640,1,8640,20001634871
509,2312881,1B2201,28080,1,28080,20001634973
516,2312894,1A1501,105840,1,105840,20001633252
517,2312894,1B2201,28080,1,28080,20001633253
525,2312895,1A1501,105840,1,105840,20001638022
528,2312895,1B2201,28080,1,28080,20001638025
533,2312897,200071,16200,1,16200,20001637711
543,2322187,1B2201,28080,1,28080,1430000225291
567,2322609,1B2201,28080,1,28080,20001635113
580,2322625,1A1501,105840,1,105840,20001630831
588,2322627,200071,16200,1,16200,20001635121
591,2322627,1A1501,105840,1,105840,20001636621
596,2332270,200006,8640,1,8640,380000323281
598,2332313,1B2201,28080,1,28080,700000339201
604,2332460,1A1601,82080,1,82080,20001630161
610,2332530,1A1501,105840,1,105840,20001636242
